Station_ID,Station_Name,Station_City,Station_Lattitude,Station_Longitude,Station_Gas_Price,Station_Premium_Price,Station_Diesel_Price
406,"To Go Stores #60, Ponce Ceiba",Ponce,18.0100159,-66.6092112,-1,92.7,78.7
407,Mobil - Gas Station,Ponce,18.0245143,-66.6006081,92.7,92.7,78.7
408,ULTRA TOP FUEL Samuel Punto Oro Station PR-2,Ponce,17.9902634,-66.6462063,92.7,92.7,78.7
409,TotalEnergies Tierra Santa,Villalba,18.1233032,-66.5016623,93.7,92.7,78.7
410,Gulf Juliana Service Station,Ponce,18.014026,-66.6179804,91.7,92.7,78.7
411,ULTRA TOP FUEL-Av.Hostos 964,Ponce,17.9896486,-66.6171338,92.7,92.7,78.7
412,Gulf,Barceloneta,18.4348448,-66.5475808,91.7,92.7,78.7
413,Mobil - Gas Station,Hatillo,18.3614718,-66.8025931,92.7,92.7,78.7
414,Puma 852,Juana Díaz,17.9916999,-66.4840459,92.7,92.7,78.7
415,Toral Gas Station To Go,Lares,18.2938464,-66.8764028,93.7,92.7,78.7
416,Gasolinera Puma,Camuy,18.471815,-66.8539672,92.7,92.7,78.7
417,Gasolinera Ultra Top Fuel,Hatillo,18.4134618,-66.7724773,92.7,92.7,78.7
418,Torrado Gas Station,Hatillo,18.4417395,-66.7990305,-1,92.7,78.7
419,TotalEnergies San Antonio,Coamo,18.0795023,-66.371879,93.7,92.7,78.7
420,Mobil,Juana Díaz,18.4311093,-66.4891299,92.7,92.7,78.7
421,Mobil - Gas Station,Coamo,18.0730583,-66.3620997,92.7,92.7,78.7
